dataset1,dataset2,y_test,y_pred
large_aws/Combo_001.csv,medium/diagonal_003.csv,4.0,2.0
A68,B68,2.0,2.0
large_aws/Combo_003.csv,medium/parcel_002.csv,1.0,1.0
large_aws/Combo_007.csv,medium/diagonal_007.csv,1.0,1.0
real/OSM2015_lakes_data_big_14.csv,real/OSM2015_roads_data_big_17.csv,3.0,3.0
A126,B126,2.0,2.0
real/OSM2015_lakes_data_big_11.csv,real/OSM2015_buildings_data_big_16.csv,3.0,3.0
large_aws/Combo_004.csv,medium/diagonal_010.csv,2.0,1.0
large_aws/Combo_005.csv,medium/diagonal_003.csv,4.0,1.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_04.csv,2.0,3.0
large_aws/Combo_007.csv,medium/diagonal_004.csv,1.0,1.0
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_FACES_data_big_06.csv,3.0,3.0
large_aws/Combo_006.csv,medium/parcel_006.csv,1.0,1.0
large_aws/Combo_003.csv,medium/diagonal_003.csv,2.0,2.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_19.csv,3.0,3.0
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_15.csv,3.0,3.0
A119,B119,4.0,4.0
A107,B107,4.0,4.0
A64,B64,2.0,2.0
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_35.csv,3.0,3.0
real/OSM2015_parks_data_big_03.csv,real/TIGER2018_FACES_data_big_20.csv,3.0,3.0
A158,B158,2.0,2.0
real/TIGER2018_EDGES_data_big_09.csv,real/TIGER2018_FACES_data_big_17.csv,3.0,3.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,2.0,2.0
large_aws/Combo_005.csv,medium/parcel_005.csv,2.0,1.0
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_15.csv,2.0,3.0
large_aws/Combo_006.csv,medium/bit_009.csv,1.0,1.0
A128,B128,4.0,4.0
real/OSM2015_parks_data_big_03.csv,real/TIGER2018_FACES_data_big_41.csv,2.0,3.0
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_09.csv,3.0,3.0
large_aws/Combo_003.csv,medium/bit_001.csv,1.0,1.0
large_aws/Combo_005.csv,medium/uniform_006.csv,1.0,1.0
real/OSM2015_lakes_data_big_05.csv,real/TIGER2017_LINEARWATER_data_big_17.csv,3.0,3.0
A155,B155,2.0,2.0
real/TIGER2018_EDGES_data_big_28.csv,real/TIGER2018_FACES_data_big_32.csv,2.0,2.0
large_aws/Combo_002.csv,medium/parcel_008.csv,1.0,1.0
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_17.csv,3.0,2.0
A177,B177,2.0,2.0
large_aws/Combo_003.csv,medium/diagonal_005.csv,1.0,1.0
large_aws/Combo_006.csv,medium/diagonal_007.csv,1.0,1.0
real/OSM2015_lakes_data_big_11.csv,real/OSM2015_roads_data_big_18.csv,3.0,3.0
real/OSM2015_lakes_data_big_10.csv,real/OSM2015_parks_data_big_12.csv,2.0,3.0
A273,B273,2.0,2.0
A294,B294,2.0,2.0
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_33.csv,3.0,3.0
A203,B203,2.0,2.0
large_aws/Combo_004.csv,medium/bit_009.csv,4.0,1.0
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_14.csv,2.0,3.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_26.csv,3.0,3.0
A228,B228,2.0,2.0
A187,B187,4.0,2.0
real/TIGER2018_EDGES_data_big_05.csv,real/TIGER2018_FACES_data_big_12.csv,3.0,3.0
large_aws/Combo_001.csv,medium/diagonal_001.csv,1.0,1.0
real/OSM2015_lakes_data_big_13.csv,real/OSM2015_roads_data_big_21.csv,3.0,3.0
large_aws/Combo_005.csv,medium/bit_002.csv,1.0,1.0
A56,B56,2.0,2.0
A139,B139,4.0,4.0
large_aws/Combo_006.csv,medium/bit_004.csv,1.0,1.0
A26,B26,2.0,2.0
A91,B91,2.0,2.0
large_aws/Combo_002.csv,medium/bit_002.csv,1.0,1.0
large_aws/Combo_003.csv,medium/parcel_005.csv,2.0,1.0
A217,B217,2.0,2.0
large_aws/Combo_003.csv,medium/gaussian_005.csv,1.0,1.0
large_aws/Combo_007.csv,medium/diagonal_005.csv,1.0,1.0
real/TIGER2018_EDGES_data_big_03.csv,real/TIGER2018_FACES_data_big_04.csv,2.0,2.0
A227,B227,2.0,2.0
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_FACES_data_big_09.csv,3.0,3.0
real/OSM2015_roads_data_big_03.csv,real/TIGER2018_FACES_data_big_41.csv,3.0,3.0
large_aws/Combo_005.csv,medium/bit_001.csv,1.0,1.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_27.csv,3.0,3.0
real/OSM2015_buildings_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_17.csv,3.0,3.0
large_aws/Combo_006.csv,medium/bit_010.csv,1.0,1.0
large_aws/Combo_004.csv,medium/diagonal_002.csv,1.0,1.0
real/OSM2015_lakes_data_big_10.csv,real/OSM2015_parks_data_big_08.csv,3.0,3.0
large_aws/Combo_004.csv,medium/diagonal_008.csv,1.0,1.0
A229,B229,2.0,2.0
large_aws/Combo_007.csv,medium/diagonal_009.csv,4.0,1.0
A61,B61,4.0,2.0
large_aws/Combo_002.csv,medium/diagonal_010.csv,2.0,1.0
real/OSM2015_roads_data_big_03.csv,real/TIGER2018_FACES_data_big_20.csv,3.0,3.0
real/TIGER2018_EDGES_data_big_02.csv,real/TIGER2018_FACES_data_big_03.csv,3.0,3.0
large_aws/Combo_003.csv,medium/uniform_010.csv,1.0,1.0
large_aws/Combo_001.csv,medium/uniform_003.csv,4.0,1.0
A278,B278,3.0,2.0
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_24.csv,3.0,3.0
large_aws/Combo_001.csv,medium/gaussian_010.csv,1.0,1.0
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_25.csv,3.0,2.0
real/TIGER2018_EDGES_data_big_15.csv,real/TIGER2018_FACES_data_big_18.csv,2.0,2.0
large_aws/Combo_001.csv,medium/parcel_003.csv,1.0,1.0
large_aws/Combo_006.csv,medium/parcel_010.csv,1.0,1.0
real/TIGER2018_EDGES_data_big_27.csv,real/TIGER2018_FACES_data_big_32.csv,2.0,2.0
real/OSM2015_lakes_data_big_15.csv,real/OSM2015_buildings_data_big_22.csv,3.0,3.0
real/OSM2015_lakes_data_big_11.csv,real/OSM2015_parks_data_big_13.csv,3.0,3.0
A129,B129,4.0,4.0
real/OSM2015_roads_data_big_18.csv,real/OSM2015_buildings_data_big_21.csv,3.0,3.0
large_aws/Combo_004.csv,medium/bit_005.csv,1.0,1.0
real/TIGER2018_EDGES_data_big_21.csv,real/TIGER2018_FACES_data_big_25.csv,2.0,2.0
real/OSM2015_lakes_data_big_13.csv,real/OSM2015_parks_data_big_12.csv,3.0,3.0
real/TIGER2018_EDGES_data_big_35.csv,real/TIGER2018_FACES_data_big_41.csv,2.0,2.0
real/OSM2015_parks_data_big_12.csv,real/OSM2015_roads_data_big_12.csv,2.0,3.0
large_aws/Combo_005.csv,medium/diagonal_006.csv,1.0,1.0
large_aws/Combo_004.csv,medium/parcel_008.csv,1.0,1.0
large_aws/Combo_003.csv,medium/uniform_007.csv,2.0,1.0
real/TIGER2018_EDGES_data_big_15.csv,real/TIGER2018_FACES_data_big_24.csv,3.0,3.0
real/OSM2015_buildings_data_big_02.csv,real/OSM2015_parks_data_big_02.csv,3.0,3.0
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_40.csv,3.0,3.0
real/TIGER2018_EDGES_data_big_09.csv,real/TIGER2018_FACES_data_big_11.csv,2.0,2.0
